日期,西德州(美元/桶),杜拜(美元/桶),布蘭特(美元/桶),備註
20260327,101.26,125.31,122.65,
20260326,96.18,122.46,111.68,
20260325,91.51,146.92,109.78,
20260324,93.18,151.26,104.51,
20260323,89.33,131.49,104.99,
20260320,98.71,164.69,115.58,
20260319,96.11,159.78,112.37,
20260318,96.12,161.26,118.82,
20260317,96.01,150.98,108.62,
20260316,93.39,150.57,101.51,
20260313,98.48,146.12,104.47,
20260312,95.61,136.51,102.91,
20260311,86.8,99.08,93.07,
20260310,83.71,87.51,90.08,
20260309,94.65,92.15,92.42,
20260306,90.77,103.29,96.46,
20260305,80.88,93.08,87.45,
20260304,74.58,82.56,82.67,
20260303,74.48,78.14,83.8,
20260302,71.13,75.82,77.55,
20260227,66.96,71.98,72.01,
20260226,65.1,69.59,71.82,
20260225,65.3,69.78,70.75,
20260224,65.62,69.81,71.59,
20260223,66.36,70.61,71.88,
20260220,66.69,70.68,72.43,
20260219,66.66,71.06,73.44,
20260218,65.33,N/A,71.82,
20260217,62.53,N/A,69.71,
20260216,N/A,67.88,71.1,
20260213,63.05,66.99,69.98,
20260212,63.08,66.69,69.78,
20260211,64.8,68.47,71.78,
20260210,64.2,68.11,71.26,
20260209,64.53,68.44,71.32,
20260206,63.77,67.59,70.48,
20260205,62.9,66.8,69.67,
20260204,64.56,68.04,70.65,
20260203,62.62,66.93,70.58,
20260202,61.6,65.02,67.68,
20260130,64.5,68.2,72.25,
20260129,64.77,68.06,71.19,
20260128,62.75,65.91,71.28,
20260127,62.04,65.17,70.43,
20260126,60.46,63.09,67.82,
20260123,60.7,64.01,68.6,
20260122,59.24,62.39,65.79,
20260121,60.38,63.9,66.82,
20260120,60.3,62.56,67.41,
20260119,N/A,62.65,66.95,
20260116,59.4,62.97,67.04,
20260115,59.13,62.48,66.26,
20260114,61.84,63.37,67.72,
20260113,60.85,62.99,67.54,
20260112,59.39,62.2,65.79,
20260109,58.96,61.37,64.81,
20260108,57.74,61.2,64.04,
20260107,56.01,58.63,61.51,
20260106,56.97,58.87,61.92,
20260105,58.1,60.42,63.01,
